Date,Youtube-Link
ITHS-24-10-2022,https://www.youtube.com/watch?v=gRd-rxSVcPs
ITHS-26-10-2022,https://www.youtube.com/watch?v=r4qAytHhLaI
ITHS-31-10-2022,https://www.youtube.com/watch?v=aomq8teXZ1c
ITHS-02-11-2022,https://www.youtube.com/watch?v=BacUlnBNNJM
ITHS-07-11-2022,https://www.youtube.com/watch?v=BQzXQ4TdUnc
ITHS-10-11-2022,https://www.youtube.com/watch?v=RzHDXzR33qE
ITHS-14-11-2022,https://www.youtube.com/watch?v=ueRbkMSGRV4
ITHS-16-11-2022,https://www.youtube.com/watch?v=Vnfgdyf6wV8
ITHS-21-11-2022,https://www.youtube.com/watch?v=QfXlz6WdEwo
ITHS-23-11-2022,https://www.youtube.com/watch?v=GiP_96A0Ssc&t=383s
ITHS-28-11-2022,https://www.youtube.com/watch?v=gE3LPXkl2p0
ITHS-30-11-2022,https://www.youtube.com/watch?v=hENOHHfIDvg&t=5s
ITHS-05-12-2022,https://www.youtube.com/watch?v=dgcD7pp1-A0&t=2s
ITHS-07-12-2022,https://www.youtube.com/watch?v=tCAXsQs6raM&t=5s
ITHS-12-12-2022,https://www.youtube.com/watch?v=HUSRyl8Tn_Y
ITHS-19-12-2022,https://www.youtube.com/watch?v=OD25rJRWnYI
ITHS-21-12-2022,https://www.youtube.com/watch?v=GcDsVj3N4HA
ITHS-09-01-2023,https://www.youtube.com/watch?v=3pngQkbJZSk
ITHS-11-01-2023,https://www.youtube.com/watch?v=Dt2a4DiuHgY
ITHS-16-01-2023,https://www.youtube.com/watch?v=XfisWD7cnms
