1670424345: mosquitto version 2.0.15 starting
1670424345: Config loaded from /mosquitto/config/mosquitto.conf.
1670424345: Opening ipv4 listen socket on port 1883.
1670424345: Opening ipv6 listen socket on port 1883.
1670424345: mosquitto version 2.0.15 running
1670426146: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670427947: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670429748: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670431549: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670433350: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670435151: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670436952: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670438753: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670440554: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670442355: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670444156: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670445957: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670447758: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670449559: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670451362: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670453163: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670454964: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670456765: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670458566: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670460367: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670462168: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670463969: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670465770: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670467571: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670469372: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670471173: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670472974: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670474775: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670476576: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670478377: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670480178: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670481979: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670483780: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670485581: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670487382: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670489183: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670490984: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670492785: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670494586: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670496387: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670498188: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670499989: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670501790: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670503591: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670505392: Saving in-memory database to /mosquitto/data//mosquitto.db.
1670507193: Saving in-memory database to /mosquitto/data//mosquitto.db.
