chestcircumference,weightkg,stature,t-shirt,color
922,657,1560,Small,red
839,534,1665,XX_Small,pink
874,663,1711,X_Small,yellow
1008,782,1660,Medium,blue
1089,886,1572,Large,lawngreen
1031,837,1707,Large,lawngreen
988,732,1644,Medium,blue
968,760,1671,Medium,blue
831,545,1521,XX_Small,pink
1010,684,1590,Medium,blue
1065,990,1707,Large,lawngreen
1034,742,1668,Large,lawngreen
1063,781,1654,Large,lawngreen
937,718,1666,Small,red
989,709,1599,Medium,blue
940,672,1673,Small,red
835,620,1647,XX_Small,pink
897,595,1678,X_Small,yellow
979,741,1679,Medium,blue
853,605,1615,X_Small,yellow
1090,800,1517,Large,lawngreen
941,747,1674,Small,red
857,491,1623,X_Small,yellow
973,703,1668,Medium,blue
975,715,1644,Medium,blue
1026,708,1579,Large,lawngreen
832,488,1446,XX_Small,pink
921,691,1620,Small,red
1032,730,1684,Large,lawngreen
904,610,1619,Small,red
951,658,1592,Medium,blue
950,709,1655,Medium,blue
965,728,1723,Medium,blue
1115,846,1677,Large,lawngreen
1170,945,1654,X-Large,green
895,627,1634,X_Small,yellow
944,578,1683,Small,red
833,524,1552,XX_Small,pink
1025,732,1617,Large,lawngreen
982,791,1588,Medium,blue
1060,894,1641,Large,lawngreen
991,689,1685,Medium,blue
994,758,1656,Medium,blue
1071,731,1603,Large,lawngreen
945,748,1608,Small,red
1094,806,1664,Large,lawngreen
932,714,1619,Small,red
1013,712,1620,Medium,blue
910,657,1720,Small,red
793,477,1582,XX_Small,pink
954,696,1720,Medium,blue
1161,1196,1720,X-Large,green
1135,887,1701,X-Large,green
1095,754,1627,Large,lawngreen
1014,678,1536,Medium,blue
946,607,1546,Small,red
814,572,1654,XX_Small,pink
940,689,1605,Small,red
988,712,1630,Medium,blue
904,604,1612,Small,red
876,697,1757,X_Small,yellow
1090,854,1670,Large,lawngreen
943,617,1632,Small,red
1132,790,1635,X-Large,green
977,672,1682,Medium,blue
977,695,1661,Medium,blue
1006,669,1596,Medium,blue
936,574,1596,Small,red
1065,815,1665,Large,lawngreen
890,618,1617,X_Small,yellow
900,645,1555,Small,red
862,557,1578,X_Small,yellow
896,614,1581,X_Small,yellow
943,668,1698,Small,red
1092,730,1554,Large,lawngreen
920,737,1756,Small,red
1071,693,1566,Large,lawngreen
1001,757,1651,Medium,blue
1126,740,1585,X-Large,green
982,682,1657,Medium,blue
1069,867,1719,Large,lawngreen
1061,882,1822,Large,lawngreen
1031,786,1649,Large,lawngreen
924,622,1687,Small,red
999,782,1698,Medium,blue
865,608,1530,X_Small,yellow
998,674,1581,Medium,blue
930,686,1609,Small,red
934,670,1644,Small,red
856,635,1548,X_Small,yellow
979,773,1606,Medium,blue
852,555,1642,X_Small,yellow
1014,727,1622,Medium,blue
841,593,1669,X_Small,yellow
1057,998,1745,Large,lawngreen
986,581,1495,Medium,blue
951,642,1493,Medium,blue
1068,758,1641,Large,lawngreen
945,683,1607,Small,red
826,471,1560,XX_Small,pink
978,665,1625,Medium,blue
978,685,1670,Medium,blue
870,579,1616,X_Small,yellow
1080,647,1582,Large,lawngreen
921,591,1730,Small,red
846,450,1501,X_Small,yellow
959,572,1515,Medium,blue
1022,721,1576,Large,lawngreen
878,676,1628,X_Small,yellow
1029,711,1586,Large,lawngreen
936,791,1737,Small,red
834,536,1576,XX_Small,pink
931,639,1626,Small,red
981,628,1604,Medium,blue
1037,788,1673,Large,lawngreen
981,598,1642,Medium,blue
1052,752,1538,Large,lawngreen
1028,686,1574,Large,lawngreen
946,668,1637,Small,red
930,613,1620,Small,red
937,742,1733,Small,red
810,522,1526,XX_Small,pink
991,767,1732,Medium,blue
985,661,1624,Medium,blue
844,505,1507,X_Small,yellow
965,637,1560,Medium,blue
985,666,1640,Medium,blue
862,610,1675,X_Small,yellow
863,581,1526,X_Small,yellow
870,609,1623,X_Small,yellow
815,575,1584,XX_Small,pink
1057,797,1671,Large,lawngreen
1137,745,1552,X-Large,green
874,614,1633,X_Small,yellow
1004,677,1530,Medium,blue
844,508,1606,X_Small,yellow
950,633,1617,Medium,blue
1013,711,1645,Medium,blue
960,727,1681,Medium,blue
992,679,1655,Medium,blue
1069,833,1626,Large,lawngreen
838,622,1635,XX_Small,pink
962,616,1572,Medium,blue
899,573,1608,X_Small,yellow
828,507,1662,XX_Small,pink
940,611,1582,Small,red
1156,866,1701,X-Large,green
886,523,1602,X_Small,yellow
991,676,1549,Medium,blue
899,549,1561,X_Small,yellow
889,571,1677,X_Small,yellow
907,644,1594,Small,red
940,649,1628,Small,red
949,592,1549,Small,red
866,563,1559,X_Small,yellow
907,580,1619,Small,red
983,810,1690,Medium,blue
895,649,1698,X_Small,yellow
892,654,1705,X_Small,yellow
875,570,1625,X_Small,yellow
1012,805,1666,Medium,blue
1026,671,1559,Large,lawngreen
977,673,1595,Medium,blue
812,550,1634,XX_Small,pink
913,708,1643,Small,red
943,538,1667,Small,red
1032,771,1661,Large,lawngreen
878,602,1560,X_Small,yellow
971,719,1610,Medium,blue
906,617,1610,Small,red
1024,761,1682,Large,lawngreen
1028,739,1604,Large,lawngreen
881,560,1540,X_Small,yellow
919,647,1638,Small,red
918,724,1656,Small,red
1118,708,1597,Large,lawngreen
1130,953,1749,X-Large,green
1002,748,1661,Medium,blue
1039,700,1526,Large,lawngreen
934,655,1583,Small,red
844,499,1533,X_Small,yellow
821,553,1575,XX_Small,pink
1072,924,1776,Large,lawngreen
1084,716,1713,Large,lawngreen
918,676,1653,Small,red
1032,641,1516,Large,lawngreen
971,666,1658,Medium,blue
1022,663,1617,Large,lawngreen
987,763,1687,Medium,blue
1036,717,1603,Large,lawngreen
990,643,1539,Medium,blue
965,591,1603,Medium,blue
817,529,1620,XX_Small,pink
993,694,1617,Medium,blue
1031,699,1600,Large,lawngreen
877,592,1572,X_Small,yellow
818,540,1632,XX_Small,pink
945,701,1690,Small,red
916,681,1682,Small,red
1050,864,1657,Large,lawngreen
881,672,1672,X_Small,yellow
912,559,1621,Small,red
854,566,1623,X_Small,yellow
887,585,1633,X_Small,yellow
1005,628,1526,Medium,blue
825,467,1570,XX_Small,pink
874,599,1616,X_Small,yellow
972,642,1690,Medium,blue
1026,813,1637,Large,lawngreen
979,719,1718,Medium,blue
873,548,1588,X_Small,yellow
844,485,1520,X_Small,yellow
921,658,1618,Small,red
1000,753,1631,Medium,blue
938,636,1642,Small,red
952,752,1719,Medium,blue
931,755,1715,Small,red
814,469,1653,XX_Small,pink
913,537,1590,Small,red
950,758,1751,Medium,blue
950,679,1583,Medium,blue
915,684,1627,Small,red
923,677,1586,Small,red
909,617,1675,Small,red
986,717,1606,Medium,blue
870,642,1680,X_Small,yellow
942,740,1773,Small,red
1105,792,1680,Large,lawngreen
838,581,1645,XX_Small,pink
1086,727,1558,Large,lawngreen
985,704,1665,Medium,blue
960,653,1601,Medium,blue
964,725,1658,Medium,blue
1015,721,1623,Medium,blue
862,561,1661,X_Small,yellow
861,583,1563,X_Small,yellow
927,677,1630,Small,red
906,576,1528,Small,red
847,559,1653,X_Small,yellow
841,468,1512,X_Small,yellow
855,567,1629,X_Small,yellow
1072,820,1675,Large,lawngreen
988,664,1498,Medium,blue
984,626,1538,Medium,blue
938,653,1567,Small,red
866,539,1590,X_Small,yellow
1063,750,1573,Large,lawngreen
949,704,1595,Small,red
982,675,1610,Medium,blue
935,640,1565,Small,red
845,470,1523,X_Small,yellow
836,502,1570,XX_Small,pink
949,597,1556,Small,red
954,646,1599,Medium,blue
940,726,1611,Small,red
915,631,1681,Small,red
925,631,1585,Small,red
1032,660,1614,Large,lawngreen
988,789,1674,Medium,blue
838,531,1653,XX_Small,pink
992,708,1593,Medium,blue
969,625,1592,Medium,blue
957,680,1617,Medium,blue
1093,734,1589,Large,lawngreen
997,688,1597,Medium,blue
1090,840,1698,Large,lawngreen
923,647,1619,Small,red
844,561,1663,X_Small,yellow
1011,735,1606,Medium,blue
997,733,1609,Medium,blue
943,605,1696,Small,red
934,722,1723,Small,red
1031,908,1748,Large,lawngreen
985,760,1695,Medium,blue
935,606,1648,Small,red
872,573,1579,X_Small,yellow
996,602,1587,Medium,blue
994,669,1604,Medium,blue
1131,829,1603,X-Large,green
966,765,1712,Medium,blue
908,671,1628,Small,red
985,589,1520,Medium,blue
896,615,1640,X_Small,yellow
864,529,1616,X_Small,yellow
1095,847,1684,Large,lawngreen
890,596,1649,X_Small,yellow
965,666,1677,Medium,blue
958,676,1653,Medium,blue
926,658,1638,Small,red
878,596,1646,X_Small,yellow
951,735,1619,Medium,blue
858,556,1530,X_Small,yellow
870,561,1603,X_Small,yellow
875,560,1680,X_Small,yellow
1139,871,1602,X-Large,green
1064,736,1447,Large,lawngreen
923,613,1627,Small,red
861,505,1594,X_Small,yellow
1057,823,1688,Large,lawngreen
896,561,1547,X_Small,yellow
991,754,1621,Medium,blue
904,593,1625,Small,red
981,695,1597,Medium,blue
1046,820,1602,Large,lawngreen
952,583,1614,Medium,blue
1067,920,1743,Large,lawngreen
1105,841,1603,Large,lawngreen
1196,842,1576,X-Large,green
999,660,1619,Medium,blue
1052,896,1754,Large,lawngreen
1014,842,1709,Medium,blue
1048,845,1789,Large,lawngreen
896,596,1587,X_Small,yellow
943,688,1687,Small,red
899,690,1665,X_Small,yellow
996,748,1573,Medium,blue
911,699,1654,Small,red
1005,691,1582,Medium,blue
873,566,1575,X_Small,yellow
976,699,1600,Medium,blue
834,468,1584,XX_Small,pink
986,701,1535,Medium,blue
1062,832,1593,Large,lawngreen
1004,789,1583,Medium,blue
896,592,1608,X_Small,yellow
861,583,1663,X_Small,yellow
951,746,1609,Medium,blue
772,428,1513,XX_Small,pink
1034,853,1704,Large,lawngreen
899,664,1708,X_Small,yellow
955,577,1506,Medium,blue
867,565,1583,X_Small,yellow
971,714,1731,Medium,blue
966,762,1669,Medium,blue
800,556,1640,XX_Small,pink
812,561,1613,XX_Small,pink
946,641,1640,Small,red
1008,766,1581,Medium,blue
971,702,1664,Medium,blue
918,561,1562,Small,red
987,812,1722,Medium,blue
969,725,1564,Medium,blue
979,686,1589,Medium,blue
1017,924,1789,Medium,blue
1058,662,1608,Large,lawngreen
887,562,1595,X_Small,yellow
859,564,1590,X_Small,yellow
980,653,1575,Medium,blue
1037,679,1539,Large,lawngreen
984,777,1654,Medium,blue
959,632,1616,Medium,blue
988,697,1646,Medium,blue
900,681,1548,Small,red
827,570,1617,XX_Small,pink
1089,742,1527,Large,lawngreen
895,589,1653,X_Small,yellow
1024,750,1606,Large,lawngreen
948,744,1700,Small,red
1131,815,1672,X-Large,green
988,765,1728,Medium,blue
1098,827,1677,Large,lawngreen
1033,793,1790,Large,lawngreen
960,735,1643,Medium,blue
955,620,1584,Medium,blue
1023,659,1583,Large,lawngreen
1000,705,1640,Medium,blue
866,493,1562,X_Small,yellow
881,643,1650,X_Small,yellow
950,654,1656,Medium,blue
1020,655,1624,Large,lawngreen
1159,856,1631,X-Large,green
866,632,1715,X_Small,yellow
908,648,1607,Small,red
883,604,1600,X_Small,yellow
993,702,1571,Medium,blue
920,659,1603,Small,red
1122,771,1599,X-Large,green
829,524,1602,XX_Small,pink
925,685,1642,Small,red
1096,1017,1715,Large,lawngreen
862,487,1634,X_Small,yellow
1059,824,1657,Large,lawngreen
1086,724,1626,Large,lawngreen
968,617,1536,Medium,blue
908,696,1698,Small,red
956,753,1652,Medium,blue
1043,785,1611,Large,lawngreen
1003,812,1764,Medium,blue
825,485,1586,XX_Small,pink
899,595,1592,X_Small,yellow
958,740,1782,Medium,blue
1028,799,1708,Large,lawngreen
957,645,1650,Medium,blue
1007,725,1612,Medium,blue
842,600,1660,X_Small,yellow
884,630,1629,X_Small,yellow
992,762,1630,Medium,blue
913,696,1743,Small,red
1152,818,1688,X-Large,green
836,508,1580,XX_Small,pink
957,665,1610,Medium,blue
757,400,1556,XX_Small,pink
985,736,1585,Medium,blue
1036,770,1685,Large,lawngreen
943,630,1592,Small,red
960,761,1698,Medium,blue
875,690,1648,X_Small,yellow
879,573,1575,X_Small,yellow
935,617,1602,Small,red
886,663,1669,X_Small,yellow
1018,850,1637,Medium,blue
929,601,1690,Small,red
935,655,1664,Small,red
932,716,1710,Small,red
906,611,1596,Small,red
1150,1000,1656,X-Large,green
991,791,1586,Medium,blue
1000,676,1653,Medium,blue
1045,740,1661,Large,lawngreen
862,501,1495,X_Small,yellow
900,587,1633,Small,red
976,696,1652,Medium,blue
899,599,1596,X_Small,yellow
1003,809,1715,Medium,blue
995,788,1724,Medium,blue
